person	organization	position	notes	g_e
Jones / Dale E.	Kohl's			m-B
Kellogg / William S.	Kohl's			m-W
Mansell / Kevin	Kohl's			m-W
Sica / Frank V.	Kohl's			m-W
Sommerhauser / Peter M.	Kohl's			m-W
Streeter / Stephanie A.	Kohl's			f-W
Watson / Stephen E.	Kohl's			m-W
Allen / Samuel R.	Whirlpool			m-W
Cain / Herman	Whirlpool			m-B
Dicamillo / Gary T.	Whirlpool			m-W
Fettig / Jeff M.	Whirlpool			m-W
Hempel / Kathleen J.	Whirlpool			f-W
Johnston / Michael F.	Whirlpool			m-W
Kerr / William T.	Whirlpool			m-W
Liu / John D.	Whirlpool			m-A
Marsh / Miles L.	Whirlpool			m-W
Perez / William D.	Whirlpool			m-L
Stern / Paul G.	Whirlpool			m-W
Stoney / Janice D.	Whirlpool			f-W
Todman / Michael A.	Whirlpool			m-B
White / Michael D.	Whirlpool			m-W
Bailey / Elizabeth E.	Altria Group			f-W
Baliles / Gerald L.	Altria Group			m-W
Casteen / John T. III	Altria Group			m-W
Devitre / Dinyar S.	Altria Group			m-A
Farrell / Thomas F. II	Altria Group			m-W
Huntley / Robert E. R.	Altria Group			m-W
Jones / Thomas W.	Altria Group			m-B
Muñoz / George	Altria Group			m-L
Sakkab / Nabil Y.	Altria Group			m-M
Szymanczyk / Michael E.	Altria Group			m-W
Bailey / Irving W. II	Computer Sciences			m-W
Barram / David J.	Computer Sciences			m-W
Baum / Stephen L.	Computer Sciences			m-W
Chase / Rodney F.	Computer Sciences			m-W
Haberkorn / Judith R.	Computer Sciences			f-W
Lawrie / J. Michael	Computer Sciences			m-W
McFarlan / F. Warren	Computer Sciences			m-W
Park / Chong Sup	Computer Sciences			m-A
Patrick / Thomas H.	Computer Sciences			m-W
Chase / Rodney F.	Tesoro			m-W
Goff / Gregory J.	Tesoro			m-W
Goldman / Robert W.	Tesoro			m-W
Grapstein / Steven H.	Tesoro			m-W
Johnson / William J.	Tesoro			m-W
Nokes / J. W.	Tesoro			m-W
Schmude / Donald H.	Tesoro			m-W
Wiley / Michael E.	Tesoro			m-W
Yang / Patrick Y.	Tesoro			m-A
Bonderman / David	UAL/Continental Airlines			m-W
Caldwell / Kirbyjon H.	UAL/Continental Airlines			m-B
Canale / Stephen R.	UAL/Continental Airlines			m-W
Corvi / Carolyn	UAL/Continental Airlines			f-W
Farrell / W. James	UAL/Continental Airlines			m-W
Garvey / Jane C.	UAL/Continental Airlines			f-W
Isaacson / Walter S.	UAL/Continental Airlines			m-W
Meyer / Henry L. III	UAL/Continental Airlines			m-W
Morse / Wendy J.	UAL/Continental Airlines			f-W
Munoz / Oscar	UAL/Continental Airlines			m-L
O'Connor / James J.	UAL/Continental Airlines			m-W
Simmons / Laurence E.	UAL/Continental Airlines			m-W
Smisek / Jeffery A.	UAL/Continental Airlines			m-W
Tilton / Glenn F.	UAL/Continental Airlines			m-W
Vitale / David J.	UAL/Continental Airlines			m-W
Walker / John H.	UAL/Continental Airlines			m-W
Yamarone / Charles A.	UAL/Continental Airlines			m-W
Boland / James C.	Goodyear Tire & Rubber			m-W
Firestone / James A.	Goodyear Tire & Rubber			m-W
Keegan / Robert J.	Goodyear Tire & Rubber			m-W
Kramer / Richard J.	Goodyear Tire & Rubber			m-W
McCollough / W. Alan	Goodyear Tire & Rubber			m-W
Morrison / Denise M.	Goodyear Tire & Rubber			f-W
O'Neal / Rodney	Goodyear Tire & Rubber			m-B
Peterson / Shirley D.	Goodyear Tire & Rubber			f-W
Streeter / Stephanie A.	Goodyear Tire & Rubber			f-W
Sullivan / G. Craig	Goodyear Tire & Rubber			m-W
Weidemeyer / Thomas H.	Goodyear Tire & Rubber			m-W
Wessel / Michael R.	Goodyear Tire & Rubber			m-W
Baum / Eleanor	Avnet			f-W
Biggins / J. Veronica	Avnet			f-B
Houminer / Ehud	Avnet			m-W
Noonan / Frank	Avnet			m-W
Robinson / Ray M.	Avnet			m-B
Schumann / William H. III	Avnet			m-W
Sullivan / William P.	Avnet			m-W
Tooker / Gary L.	Avnet			m-W
Vallee / Roy	Avnet			m-W
Bolland / Marc J.	Manpower			m-W
Boswell / Gina	Manpower			f-W
Dominguez / Cari	Manpower			f-L
Greenberg / Jack M.	Manpower			m-W
Hueneke / Terry A.	Manpower			m-W
Joerres / Jeffrey A.	Manpower			m-W
Mendoza / Roberto G.	Manpower			m-L
Payne / Ulice Jr.	Manpower			m-B
Sartain / Libby	Manpower			f-W
Walter / John R.	Manpower			m-W
Zore / Edward J.	Manpower			m-W
Campbell / E. R.	Capital One Financial			m-W
Dietz / W. Ronald	Capital One Financial			m-W
Fairbank / Richard D.	Capital One Financial			m-W
Gross / Patrick W.	Capital One Financial			m-W
Hackett / Ann Fritz	Capital One Financial			f-W
Hay / Lewis III	Capital One Financial			m-W
Leroy / Pierre E.	Capital One Financial			m-B
Shattuck / Mayo A. III	Capital One Financial			m-W
Warner / Bradford H.	Capital One Financial			m-W
Baranco / Juanita Powell	Southern			f-B
Boscia / Jon A.	Southern			m-W
Clark / Henry A. III	Southern			m-W
Fanning / Thomas A.	Southern			m-W
Habermeyer / H. William Jr.	Southern			m-W
Hagen / Veronica M.	Southern			f-W
Hood / Warren A. Jr.	Southern			m-W
James / Donald M.	Southern			m-W
Klein / Dale E.	Southern			m-W
Purcell / J. Neal	Southern			m-W
Smith / William G. Jr.	Southern			m-W
Specker / Steven R.	Southern			m-W
Thompson / Larry D.	Southern			m-B
Citrino / Mary Anne	Health Net			f-W
Craver / Theodore F. Jr.	Health Net			m-W
Escarra / Vicki B.	Health Net			f-W
Fitzgerald / Gale S.	Health Net			f-W
Foley / Patrick	Health Net			m-W
Gellert / Jay M.	Health Net			m-W
Greaves / Roger F.	Health Net			m-W
Willison / Bruce G.	Health Net			m-W
Yeager / Frederick C.	Health Net			m-W
Barrat / Sherry S.	FPL Group			f-W
Beall / Robert M. II	FPL Group			m-W
Brown / J. Hyatt	FPL Group			m-W
Camaren / James L.	FPL Group			m-W
Dunn / Kenneth B.	FPL Group			m-W
Ferguson / J. Brian	FPL Group			m-W
Hay / Lewis III	FPL Group			m-W
Jennings / Toni	FPL Group			f-W
Kingsley / Oliver D. Jr.	FPL Group			m-W
Schupp / Rudy E.	FPL Group			m-W
Swanson / William H.	FPL Group			m-W
Thaman / Michael H.	FPL Group			m-W
Tookes / Hansel E. II	FPL Group			m-B
Canizares / Claude R.	L-3 Communications			m-W
Corcoran / Thomas A.	L-3 Communications			m-W
Kramer / Lewis	L-3 Communications			m-W
Millard / Robert B.	L-3 Communications			m-W
Shalikashvili / John M.	L-3 Communications			m-W
Simon / Arthur L.	L-3 Communications			m-W
Strianese / Michael T.	L-3 Communications			m-W
Washkowitz / Alan H.	L-3 Communications			m-W
White / John P.	L-3 Communications			m-W
Berzin / Ann C.	Constellation Energy			f-W
Brady / James T.	Constellation Energy			m-W
Curtiss / James R.	Constellation Energy			m-W
De Balmann / Yves C.	Constellation Energy			m-W
Hrabowski / Freeman A. III	Constellation Energy			m-B
Lampton / Nancy	Constellation Energy			f-W
Lawless / Robert J.	Constellation Energy			m-W
Shattuck / Mayo A. III	Constellation Energy			m-W
Skolds / John L.	Constellation Energy			m-W
Sullivan / Michael D.	Constellation Energy			m-W
Abraham / Spencer	Occidental Petroleum			m-W
Atkins / Howard I.	Occidental Petroleum			m-W
Burkle / Ron	Occidental Petroleum			m-W
Chalsty / John S.	Occidental Petroleum			m-W
Chazen / Stephen I.	Occidental Petroleum			m-W
Djerejian / Edward P.	Occidental Petroleum			m-W
Feick / John E.	Occidental Petroleum			m-W
Foran / Margaret M.	Occidental Petroleum			f-W
Gutierrez / Carlos M.	Occidental Petroleum			m-L
Irani / Ray R.	Occidental Petroleum			m-M
Maloney / Irvin W.	Occidental Petroleum			m-W
Poladian / Avedick B.	Occidental Petroleum			m-W
Segovia / Rodolfo	Occidental Petroleum			m-L
Syriani / Aziz D.	Occidental Petroleum			m-M
Tomich / Rosemary	Occidental Petroleum			f-W
Weisman / Walter L.	Occidental Petroleum			m-W
Cahill / John	Colgate-Palmolive			m-W
Cook / Ian M.	Colgate-Palmolive			m-W
Gayle / Helene D.	Colgate-Palmolive			f-B
Hancock / Ellen M.	Colgate-Palmolive			f-W
Jimenez / Joseph	Colgate-Palmolive			m-L
Johnson / David	Colgate-Palmolive			m-W
Kogan / Richard J.	Colgate-Palmolive			m-W
Lewis / Delano E.	Colgate-Palmolive			m-B
Reinhard / J. Pedro	Colgate-Palmolive			m-L
Sadove / Stephen	Colgate-Palmolive			m-W
Britt / Glenn A.	Xerox			m-W
Burns / Ursula M.	Xerox			f-B
Harrington / Richard J.	Xerox			m-W
Hunter / William Curt	Xerox			m-B
McDonald / Robert A.	Xerox			m-W
Nicholas / N. J. Jr.	Xerox			m-W
Prince / Charles O. III	Xerox			m-W
Reese / Ann N.	Xerox			f-W
Wilderotter / Mary Agnes	Xerox			f-W
Barr / William P.	Dominion Resources			m-W
Brown / Peter W.	Dominion Resources			m-W
Davidson / George A. Jr.	Dominion Resources			m-W
Dragas / Helen E.	Dominion Resources			f-W
Farrell / Thomas F. II	Dominion Resources			m-W
Harris / John W.	Dominion Resources			m-W
Jepson / Robert S. Jr.	Dominion Resources			m-W
Kington / Mark J.	Dominion Resources			m-W
McKenna / Margaret A.	Dominion Resources			f-W
Royal / Frank S.	Dominion Resources			m-B
Spilman / Robert H. Jr.	Dominion Resources			m-W
Wollard / David A.	Dominion Resources			m-W
Adkerson / Richard C.	Freeport-McMoRan Copper & Gold			m-W
Allison / Robert J. Jr.	Freeport-McMoRan Copper & Gold			m-W
Day / Robert A.	Freeport-McMoRan Copper & Gold			m-W
Ford / Gerald J.	Freeport-McMoRan Copper & Gold			m-W
Graham / H. Devon Jr.	Freeport-McMoRan Copper & Gold			m-W
Krulak / Charles C.	Freeport-McMoRan Copper & Gold			m-W
Lackey / Bobby Lee	Freeport-McMoRan Copper & Gold			m-W
Madonna / Jon C.	Freeport-McMoRan Copper & Gold			m-W
McCoy / Dustan E.	Freeport-McMoRan Copper & Gold			m-W
Moffett / James R.	Freeport-McMoRan Copper & Gold			m-W
Rankin / BM Jr.	Freeport-McMoRan Copper & Gold			m-W
Siegele / Stephen H.	Freeport-McMoRan Copper & Gold			m-W
Anderson / Brad H.	General Mills			m-W
Clark / R. Kerry	General Mills			m-W
Danos / Paul	General Mills			m-W
Esrey / William T.	General Mills			m-W
Gilmartin / Raymond V.	General Mills			m-W
Hope / Judith Richards	General Mills			f-W
Miller / Heidi G.	General Mills			f-W
Ochoa-Brillembourg / Hilda	General Mills			f-L
Odland / Steve	General Mills			m-W
Powell / Kendall J.	General Mills			m-W
Rose / Michael D.	General Mills			m-W
Ryan / Robert L.	General Mills			m-B
Terrell / Dorothy A.	General Mills			f-B
Bodman / Samuel W.	AES			m-W
Hanrahan / Paul	AES			m-W
Johnson / Kristina M.	AES			f-W
Khanna / Tarun	AES			m-A
Koskinen / John A.	AES			m-W
Lader / Philip	AES			m-W
Moose / Sandra O.	AES			f-W
Morse / John B. Jr.	AES			m-W
Odeen / Philip A.	AES			m-W
Rossotti / Charles O.	AES			m-W
Sandstrom / Sven	AES			m-W
Asherman / Philip K.	Arrow Electronics			m-W
Duval / Daniel W.	Arrow Electronics			m-W
Hamilton / Gail E.	Arrow Electronics			f-W
Hanson / John N.	Arrow Electronics			m-W
Hill / Richard S.	Arrow Electronics			m-W
Keeth / M. Frances	Arrow Electronics			f-W
Kerin / Andrew C.	Arrow Electronics			m-W
King / Roger	Arrow Electronics			m-A
Long / Michael J.	Arrow Electronics			m-W
Patrick / Stephen C.	Arrow Electronics			m-W
Perry / Barry W.	Arrow Electronics			m-W
Waddell / John C.	Arrow Electronics			m-W
Bennett / Alan M.	Halliburton			m-W
Boyd / James R.	Halliburton			m-W
Carroll / Milton	Halliburton			m-B
Dicciani / Nance K.	Halliburton			f-W
Gillis / S. Malcolm	Halliburton			m-W
Hackett / James T.	Halliburton			m-W
Hunt / Ray Lee	Halliburton			m-W
Jum'ah / Abdallah S.	Halliburton			m-M
Lesar / David J.	Halliburton			m-W
Malone / Robert A.	Halliburton			m-W
Martin / J. Landis	Halliburton			m-W
Reed / Debra L.	Halliburton			f-W
Baltimore / David	Amgen			m-W
Biondi / Frank J. Jr.	Amgen			m-W
Bradway / Robert A.	Amgen			m-W
Choate / Jerry D.	Amgen			m-W
Coffman / Vance D.	Amgen			m-W
De Carbonnel / François	Amgen			m-W
Gluck / Frederick W.	Amgen			m-W
Henderson / Rebecca M.	Amgen			f-W
Herringer / Frank C.	Amgen			m-W
Omenn / Gilbert S.	Amgen			m-W
Pelham / Judith C.	Amgen			f-W
Reason / J. Paul	Amgen			m-B
Schaeffer / Leonard D.	Amgen			m-W
Sharer / Kevin W.	Amgen			m-W
Sugar / Ronald D.	Amgen			m-W
Anderson / Richard H.	Medtronic			m-W
Calhoun / David L.	Medtronic			m-W
Dzau / Victor J.	Medtronic			m-A
Hawkins / William A. III	Medtronic			m-W
Jackson / Shirley Ann	Medtronic			f-B
Lenehan / James T.	Medtronic			m-W
O'Leary / Denise M.	Medtronic			f-W
Powell / Kendall J.	Medtronic			m-W
Pozen / Robert C.	Medtronic			m-W
Rosso / Jean-Pierre	Medtronic			m-W
Schuler / Jack W.	Medtronic			m-W
Burgdoerfer / Stuart B.	Progressive			m-W
Davis / Charles A.	Progressive			m-W
Farah / Roger N.	Progressive			m-W
Fitt / Lawton W.	Progressive			f-W
Hardis / Stephen R.	Progressive			m-W
Healy / Bernadine P.	Progressive			f-W
Kohnstamm / Abby F.	Progressive			f-W
Laskaway / Philip A.	Progressive			m-W
Lewis / Peter B.	Progressive			m-W
Matthews / Norman S.	Progressive			m-W
Nettles / Patrick H.	Progressive			m-W
Renwick / Glenn M.	Progressive			m-W
Sheares / Bradley T.	Progressive			m-B
Bellamy / Adrian D. P.	Gap			m-W
De Sole / Domenico	Gap			m-W
Fisher / Doris	Gap			f-W
Fisher / John	Gap			m-W
Fisher / Robert J.	Gap			m-W
Fisher / William Jr.	Gap			m-W
Fisher / William S.	Gap			m-W
Martin / Bob L.	Gap			m-W
Montoya / Jorge P.	Gap			m-L
Murphy / Glenn K.	Gap			m-W
Shattuck / Mayo A. III	Gap			m-W
Tsang / Katherine	Gap			f-A
Whitman / Meg	Gap			f-W
Youngblood / Kneeland C.	Gap			m-B
Burrus / Robert L. Jr.	Smithfield Foods			m-W
Crawford / Carol T.	Smithfield Foods			f-W
Goldberg / Ray A.	Smithfield Foods			m-W
Luter / Joseph W. III	Smithfield Foods			m-W
Murphy / Wendell H.	Smithfield Foods			m-W
Nelson / David C.	Smithfield Foods			m-W
Ning / Gaoning	Smithfield Foods			m-A
Pope / C. Larry	Smithfield Foods			m-W
Royal / Frank S.	Smithfield Foods			m-B
Schwieters / John T.	Smithfield Foods			m-W
Trible / Paul S. Jr.	Smithfield Foods			m-W
Wright / Melvin O.	Smithfield Foods			m-W
Card / Andrew H. Jr.	Union Pacific			m-W
Davis / Erroll B. Jr.	Union Pacific			m-B
Donohue / Thomas J. Sr.	Union Pacific			m-W
Dunham / Archie W.	Union Pacific			m-W
Hope / Judith Richards	Union Pacific			f-W
Krulak / Charles C.	Union Pacific			m-W
McCarthy / Michael R.	Union Pacific			m-W
McConnell / Michael W.	Union Pacific			m-W
McLarty / Thomas F. III	Union Pacific			m-W
Rogel / Steven R.	Union Pacific			m-W
Villarreal / Jose H.	Union Pacific			m-L
Young / James R.	Union Pacific			m-W
Berman / Ann E.	Loews			f-W
Bower / Joseph Lyon	Loews			m-W
Diker / Charles M.	Loews			m-W
Frenkel / Jacob A.	Loews			m-W
Fribourg / Paul J.	Loews			m-W
Harris / Walter L.	Loews			m-W
Laskaway / Philip A.	Loews			m-W
Miller / Ken	Loews			m-W
Scott / Gloria R.	Loews			f-B
Tisch / Andrew H.	Loews			m-W
Tisch / James S.	Loews			m-W
Tisch / Jonathan M.	Loews			m-W
Brown / Michael W.	EMC			m-W
Cowen / Randolph L.	EMC			m-W
Cronin / Michael J.	EMC			m-W
Deegan / Gail	EMC			f-W
DiStasio / James S.	EMC			m-W
Dougherty / Thomas J.	EMC			m-W
Egan / John R.	EMC			m-W
Fitzgerald / W. Paul	EMC			m-W
Kelly / Edmund F.	EMC			m-W
Priem / Windle B.	EMC			m-W
Sagan / Paul	EMC			m-W
Strohm / David	EMC			m-W
Tucci / Joseph M.	EMC			m-W
Boeckmann / Alan L.	Burlington Northern Santa Fe		removed in acquisition by BH in 2009	m-W
Cook / Donald G.	Burlington Northern Santa Fe		removed in acquisition by BH in 2009	m-W
Martinez / Vilma S.	Burlington Northern Santa Fe		removed in acquisition by BH in 2009	f-L
Racicot / Marc F.	Burlington Northern Santa Fe		removed in acquisition by BH in 2009	m-W
Roberts / Roy S.	Burlington Northern Santa Fe		removed in acquisition by BH in 2009	m-B
Rose / Matthew K.	Burlington Northern Santa Fe		removed in acquisition by BH in 2009	m-W
Shapiro / Marc J.	Burlington Northern Santa Fe		removed in acquisition by BH in 2009	m-W
Watts / J. C. Jr.	Burlington Northern Santa Fe		removed in acquisition by BH in 2009	m-B
West / Robert H.	Burlington Northern Santa Fe		removed in acquisition by BH in 2009	m-W
Whisler / J. Steven	Burlington Northern Santa Fe		removed in acquisition by BH in 2009	m-W
Whitacre / Edward E. Jr.	Burlington Northern Santa Fe		removed in acquisition by BH in 2009	m-W
Ackerman / Joel	Coventry Health Care			m-W
Crandall / L. Dale	Coventry Health Care			m-W
Kugelman / Lawrence N.	Coventry Health Care			m-W
Mendelson / Daniel N.	Coventry Health Care			m-W
Moorhead / Rodman W. III	Coventry Health Care			m-W
Stocker / Michael	Coventry Health Care			m-W
Swedish / Joseph R.	Coventry Health Care			m-W
Tallett / Elizabeth E.	Coventry Health Care			f-W
Weglicki / Timothy T.	Coventry Health Care			m-W
Wise / Allen F.	Coventry Health Care			m-W
Brailsford / Marvin D.	Illinois Tool Works			m-B
Crown / Susan	Illinois Tool Works			f-W
Davis / Don H. Jr.	Illinois Tool Works			m-W
McCormack / Robert C.	Illinois Tool Works			m-W
Morrison / Robert S.	Illinois Tool Works			m-W
Skinner / James A.	Illinois Tool Works			m-W
Smith / David H. B. Jr.	Illinois Tool Works			m-W
Speer / David B.	Illinois Tool Works			m-W
Strobel / Pamela B.	Illinois Tool Works			f-W
Warren / Kevin M.	Illinois Tool Works			m-B
Williams / Anré D.	Illinois Tool Works			m-B
Abrams / George S.	Viacom			m-W
Dauman / Philippe	Viacom			m-W
Dooley / Thomas E.	Viacom			m-W
Greenberg / Alan C.	Viacom			m-W
Kraft / Robert K.	Viacom			m-W
McGarvie / Blythe J.	Viacom			f-W
Phillips / Charles E. Jr.	Viacom			m-B
Redstone / Shari	Viacom			f-W
Redstone / Sumner M.	Viacom			m-W
Salerno / Frederic V.	Viacom			m-W
Schwartz / William	Viacom			m-W
Bekenstein / Joshua	Toys R Us			m-W
Calbert / Michael M.	Toys R Us			m-W
Fascitelli / Michael D.	Toys R Us			m-W
Levin / Matthew S.	Toys R Us			m-W
Nelson / Dean B.	Toys R Us			m-W
Pfeffer / John	Toys R Us			m-W
Roth / Steven	Toys R Us			m-W
Silverstein / Wendy	Toys R Us			f-W
Storch / Gerald L.	Toys R Us			m-W
Ward / Michael D.	Toys R Us			m-W
Brooks / E. R.	American Electric Power			m-W
Carlton / Donald M.	American Electric Power			m-W
Cordes / James F.	American Electric Power			m-W
Crosby / Ralph D. Jr.	American Electric Power			m-W
Goodspeed / Linda A.	American Electric Power			f-W
Hoaglin / Tom E.	American Electric Power			m-W
Hudson / Lester A.	American Electric Power			m-W
Morris / Michael G.	American Electric Power			m-W
Nowell / Lionel L. III	American Electric Power			m-B
Sandor / Richard L.	American Electric Power			m-W
Sullivan / Kathryn D.	American Electric Power			f-W
Tucker / Sara Martinez	American Electric Power			f-L
Turner / John F.	American Electric Power			m-W
Andrews / David R.	PG&E Corp.			m-B
Chew / Lewis	PG&E Corp.			m-A
Cox / C. Lee	PG&E Corp.			m-W
Darbee / Peter A.	PG&E Corp.			m-W
Herringer / Maryellen C.	PG&E Corp.			f-W
Johns / Christopher P.	PG&E Corp.			m-W
Kimmel / Roger H.	PG&E Corp.			m-W
Meserve / Richard A.	PG&E Corp.			m-W
Miller / Forrest E.	PG&E Corp.			m-W
Parra / Rosendo G.	PG&E Corp.			m-L
Rambo / Barbara L.	PG&E Corp.			f-W
Williams / Barry Lawson	PG&E Corp.			m-B
Burke / Kevin	Consolidated Edison			m-W
Calarco / Vincent A.	Consolidated Edison			m-W
Campbell / George Jr.	Consolidated Edison			m-B
Davis / Gordon J.	Consolidated Edison			m-B
Del Giudice / Michael J.	Consolidated Edison			m-W
Futter / Ellen V.	Consolidated Edison			f-W
Hennessy / John F. III	Consolidated Edison			m-W
Hernandez / Sally	Consolidated Edison			f-L
Killian / John F.	Consolidated Edison			m-W
McGrath / Eugene R.	Consolidated Edison			m-W
Ranger / Michael W.	Consolidated Edison			m-W
Sutherland / L. Frederick	Consolidated Edison			m-W
Baird / Zoe	Chubb			f-W
Burke / Sheila P.	Chubb			f-W
Cash / James I. Jr.	Chubb			m-B
Finnegan / John D.	Chubb			m-W
McGuinn / Martin G.	Chubb			m-W
Small / Lawrence M.	Chubb			m-W
Soderberg / Jess	Chubb			m-W
Somers / Daniel E.	Chubb			m-W
Zimmerman / James M.	Chubb			m-W
Zollar / Alfred W.	Chubb			m-B
Andelman / David R.	CBS			m-W
Califano / Joseph A. Jr.	CBS			m-W
Cohen / William S.	CBS			m-W
Countryman / Gary L.	CBS			m-W
Gifford / Charles K.	CBS			m-W
Goldberg / Leonard	CBS			m-W
Gordon / Bruce S.	CBS			m-B
Griego / Linda M.	CBS			f-L
Kopelson / Arnold	CBS			m-W
Moonves / Leslie	CBS			m-W
Morris / Doug	CBS			m-W
Redstone / Shari	CBS			f-W
Redstone / Sumner M.	CBS			m-W
Salerno / Frederic V.	CBS			m-W
Bay / Mogens C.	ConAgra Foods			m-W
Butler / Stephen G.	ConAgra Foods			m-W
Goldstone / Steven F.	ConAgra Foods			m-W
Gregor / Joie A.	ConAgra Foods			f-W
Johri / Rajive	ConAgra Foods			m-A
Jurgensen / W. G.	ConAgra Foods			m-W
Lenny / Richard H.	ConAgra Foods			m-W
Marshall / Ruth Ann	ConAgra Foods			f-W
Rodkin / Gary M.	ConAgra Foods			m-W
Schindler / Andrew J.	ConAgra Foods			m-W
Stinson / Kenneth E.	ConAgra Foods			m-W
Addison / Paul T.	FirstEnergy			m-B
Alexander / Anthony J.	FirstEnergy			m-W
Anderson / Michael J.	FirstEnergy			m-W
Cartwright / Carol A.	FirstEnergy			f-W
Cottle / William T.	FirstEnergy			m-W
Heisler / Robert B. Jr.	FirstEnergy			m-W
Novak / Ernest J. Jr.	FirstEnergy			m-W
Rein / Catherine A.	FirstEnergy			f-W
Smart / George M.	FirstEnergy			m-W
Taylor / Wes M.	FirstEnergy			m-W
Williams / Jesse T. Sr.	FirstEnergy			m-B
Begley / Christopher B.	Sara Lee			m-W
Bennink / Jan	Sara Lee			m-W
Bowles / Crandall C.	Sara Lee			f-W
Colbert / Virgis W.	Sara Lee			m-B
Crown / James S.	Sara Lee			m-W
Koellner / Laurette T.	Sara Lee			f-W
McAdam / John	Sara Lee			m-W
Prosser / Ian	Sara Lee			m-W
Sorensen / Norman R.	Sara Lee			m-W
Ubben / Jeffrey W.	Sara Lee			m-W
Van Lede / Cees J. A.	Sara Lee			m-W
Ward / Jonathan P.	Sara Lee			m-W
Barnet / William III	Duke Energy			m-W
Bernhardt / G. Alex Sr.	Duke Energy			m-W
Browning / Michael G.	Duke Energy			m-W
DiMicco / Daniel R.	Duke Energy			m-W
Forsgren / John H.	Duke Energy			m-W
Gray / Ann Maynard	Duke Energy			f-W
Hance / James H. Jr.	Duke Energy			m-W
Reinsch / E. James	Duke Energy			m-W
Rhodes / James T.	Duke Energy			m-W
Rogers / James E.	Duke Energy			m-W
Sharp / Philip R.	Duke Energy			m-W
Armstrong / Greg L.	National Oilwell Varco			m-W
Beauchamp / Robert E.	National Oilwell Varco			m-W
Guill / Ben A.	National Oilwell Varco			m-W
Harrison / David D.	National Oilwell Varco			m-W
Jarvis / Roger L.	National Oilwell Varco			m-W
Mattson / Eric L.	National Oilwell Varco			m-W
Miller / Merrill A. Jr.	National Oilwell Varco			m-W
Smisek / Jeffery A.	National Oilwell Varco			m-W
Bryant / John A.	Kellogg			m-W
Carson / Benjamin S. Sr.	Kellogg			m-B
Dillon / John T.	Kellogg			m-W
Gund / Gordon	Kellogg			m-W
Jenness / James M.	Kellogg			m-W
Johnson / Dorothy A.	Kellogg			f-W
Knauss / Donald R.	Kellogg			m-W
Korologos / Ann McLaughlin	Kellogg			f-W
Rebolledo / Rogelio M.	Kellogg			m-L
Speirn / Sterling	Kellogg			m-W
Steele / Robert A.	Kellogg			m-W
Zabriskie / John L.	Kellogg			m-W
Boomer / Walter E.	Baxter International			m-W
Devitt / Blake E.	Baxter International			m-W
Forsyth / John D.	Baxter International			m-W
Fosler / Gail D.	Baxter International			f-W
Gavin / James R. III	Baxter International			m-B
Hellman / Peter S.	Baxter International			m-W
Hockmeyer / Wayne T.	Baxter International			m-W
Martin / Joseph B.	Baxter International			m-W
Parkinson / Robert L. Jr.	Baxter International			m-W
Shapazian / Carole J.	Baxter International			f-W
Stallkamp / Thomas T.	Baxter International			m-W
Storm / K. J.	Baxter International			m-W
Stroucken / Albert P. L.	Baxter International			m-W
Gamper / Albert R. Jr.	Public Service Enterprise Group			m-W
Harper / Conrad K.	Public Service Enterprise Group			m-B
Hickey / William V.	Public Service Enterprise Group			m-W
Izzo / Ralph	Public Service Enterprise Group			m-W
Jackson / Shirley Ann	Public Service Enterprise Group			f-B
Lilley / David	Public Service Enterprise Group			m-W
Renyi / Thomas A.	Public Service Enterprise Group			m-W
Shin / Hak Cheol	Public Service Enterprise Group			m-A
Swift / Richard J.	Public Service Enterprise Group			m-W
Bindra / Jagjeet S.	Edison International			m-A
Chang / Vanessa C. L.	Edison International			f-A
Córdova / France A.	Edison International			f-L
Craver / Theodore F. Jr.	Edison International			m-W
Curtis / Charles B.	Edison International			m-W
Freeman / Bradford M.	Edison International			m-W
Nogales / Luis G.	Edison International			m-L
Olson / Ronald L.	Edison International			m-W
Rosser / James M.	Edison International			m-B
Schlosberg / Richard T. III	Edison International			m-W
Sutton / Thomas C.	Edison International			m-W
White / Brett	Edison International			m-W
Anschutz / Philip	Qwest Communications			m-W
Biggs / Charles L.	Qwest Communications			m-W
Brooksher / K. Dane	Qwest Communications			m-W
Hellman / Peter S.	Qwest Communications			m-W
Hoover / R. David	Qwest Communications			m-W
Martin / Patrick J.	Qwest Communications			m-W
Matthews / Caroline	Qwest Communications			f-W
Mueller / Edward A.	Qwest Communications			m-W
Murdy / Wayne W.	Qwest Communications			m-W
Murley / Jan L.	Qwest Communications			f-W
Roberts / Michael J.	Qwest Communications			m-W
Unruh / James A.	Qwest Communications			m-W
Welters / Anthony	Qwest Communications			m-B
Holland / Christopher S.	Aramark			m-W
Neubauer / Joseph	Aramark			m-W
Sutherland / L. Frederick	Aramark			m-W
Angel / Stephen F.	PPG Industries			m-W
Berges / James G.	PPG Industries			m-W
Bunch / Charles E.	PPG Industries			m-W
Grant / Hugh	PPG Industries			m-W
Haynes / Victoria F.	PPG Industries			f-W
Hooper / Michele J.	PPG Industries			f-B
Mehrabian / Robert	PPG Industries			m-M
Richenhagen / Martin H.	PPG Industries			m-W
Ripp / Robert	PPG Industries			m-W
Usher / Thomas J.	PPG Industries			m-W
Whitwam / David R.	PPG Industries			m-W
Cash / W. Larry	Community Health Systems			m-W
Clerico / John A.	Community Health Systems			m-W
Ely / James S. III	Community Health Systems			m-W
